               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.025354,            0.027819,            0.001576,             0.99128,             0.99522,             0.99201,             0.67893,            0.015632,            0.021487,          0.00058733,           0.0064855,           0.0064855,           0.0064855
                  73,            0.025593,            0.029629,           0.0017662,              0.9873,             0.99478,             0.99345,             0.67605,             0.01644,            0.021176,          0.00068699,            0.006436,            0.006436,            0.006436
                  74,            0.024879,            0.026364,           0.0020228,             0.99027,             0.99323,              0.9924,              0.6857,            0.016834,            0.021063,          0.00061231,           0.0063865,           0.0063865,           0.0063865
                  75,            0.025153,             0.02882,           0.0016828,             0.98055,             0.99686,             0.99227,             0.68781,            0.016269,            0.021498,          0.00061226,            0.006337,            0.006337,            0.006337
                  76,            0.024872,            0.026758,           0.0020204,             0.98628,             0.99631,             0.99357,             0.67639,            0.016319,            0.021096,          0.00066569,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024213,            0.027864,           0.0020139,             0.98018,             0.99686,             0.99292,             0.68613,            0.015739,            0.021639,          0.00063438,            0.006238,            0.006238,            0.006238
                  78,            0.024743,            0.027217,           0.0019478,             0.98794,             0.99199,             0.99129,             0.68863,            0.015616,            0.020558,          0.00074626,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024787,            0.027204,           0.0020483,             0.98725,             0.99651,             0.99269,             0.67595,            0.016058,            0.021601,          0.00062336,            0.006139,            0.006139,            0.006139
                  80,            0.023402,            0.027537,           0.0013855,             0.98416,             0.99338,             0.99272,             0.66794,            0.016374,            0.021809,          0.00063933,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023762,            0.028188,           0.0016299,             0.97908,             0.97984,             0.99188,             0.66249,            0.016474,            0.022785,          0.00070952,             0.00604,             0.00604,             0.00604
                  82,            0.024649,            0.027463,           0.0018277,             0.98407,              0.9963,             0.99258,             0.66904,            0.016611,            0.021602,          0.00062993,           0.0059905,           0.0059905,           0.0059905
                  83,            0.024493,            0.026992,           0.0019409,             0.98412,              0.9948,             0.99183,              0.6604,            0.016225,            0.022557,          0.00065498,            0.005941,            0.005941,            0.005941
                  84,            0.023454,            0.027467,           0.0015827,             0.94946,             0.98274,             0.99134,             0.66608,            0.016494,            0.022797,           0.0014732,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023736,            0.027391,           0.0016934,             0.98556,             0.99478,             0.99113,             0.67553,            0.015988,            0.021775,          0.00060579,            0.005842,            0.005842,            0.005842
                  86,             0.02371,            0.027351,           0.0015058,             0.98579,             0.99686,             0.99198,             0.68555,             0.01581,            0.021944,          0.00062199,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023883,             0.02704,           0.0014288,             0.98471,             0.99686,              0.9924,             0.67568,            0.016079,            0.022365,          0.00060929,            0.005743,            0.005743,            0.005743
                  88,            0.023509,            0.026944,           0.0016871,             0.98156,             0.99686,             0.99297,             0.67869,            0.016481,            0.022609,          0.00063588,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023199,            0.027349,           0.0014333,             0.98613,             0.99678,             0.99152,              0.6841,            0.016078,            0.022551,           0.0006435,            0.005644,            0.005644,            0.005644
                  90,            0.024615,            0.028241,           0.0014639,              0.9899,             0.99686,             0.99129,              0.6792,            0.016186,            0.022533,          0.00053848,           0.0055945,           0.0055945,           0.0055945
